scenario,structure,n,time_per_op_ns,stddev_ns
S4_search_miss,hash_double,25000,30.03,10.0301
S4_search_miss,rbt,25000,15,8.66025
S4_search_miss,t23,25000,25.01,8.6545
S4_search_miss,hash_chain,50000,10,0
S4_search_miss,hash_double,50000,22.495,4.32149
S4_search_miss,rbt,50000,12.51,4.359
S4_search_miss,t23,50000,25,5
S4_search_miss,hash_chain,100000,12.5025,2.51753
S4_search_miss,hash_double,100000,23.73,2.1709
S4_search_miss,rbt,100000,15.0125,0.0178536
S4_search_miss,t23,100000,26.255,2.17372
S4_search_miss,hash_chain,250000,16.005,1.41563
S4_search_miss,hash_double,250000,20.508,1.6547
S4_search_miss,rbt,250000,14.999,0.995025
S4_search_miss,t23,250000,26.028,0.157251
S4_search_miss,hash_chain,500000,15.4995,1.4995
S4_search_miss,hash_double,500000,22.5155,1.50153
S4_search_miss,rbt,500000,14.7495,0.830214
S4_search_miss,t23,500000,32.489,0.39671
S4_search_miss,hash_chain,750000,22.3367,1.37292
S4_search_miss,hash_double,750000,31.0003,1.00033
S4_search_miss,rbt,750000,15.5007,0.725721
S4_search_miss,t23,750000,30.188,0.278493
S4_search_miss,hash_chain,1000000,15.986,0.477246
S4_search_miss,hash_double,1000000,23.6163,1.10964
S4_search_miss,rbt,1000000,16.3755,0.216797
S4_search_miss,t23,1000000,33.057,0.0555653
S4_search_miss,hash_chain,2500000,25.7294,0.502812
S4_search_miss,hash_double,2500000,22.3331,2.02789
S4_search_miss,rbt,2500000,17.1516,0.295398
S4_search_miss,t23,2500000,31.4542,0.166527
S4_search_miss,hash_chain,5000000,30.5265,1.72606
S4_search_miss,hash_double,5000000,21.9943,0.733359
S4_search_miss,rbt,5000000,19.4814,0.38181
S4_search_miss,t23,5000000,36.656,0.112936
S5_delete_all,hash_chain,10000,74.35,25.6562
S5_delete_all,hash_double,10000,75.125,24.8266
S5_delete_all,rbt,10000,87.475,21.6362
S5_delete_all,t23,10000,124.975,24.975
S5_delete_all,hash_chain,25000,100,0
S5_delete_all,hash_double,25000,55,8.66025
S5_delete_all,rbt,25000,100,0
S5_delete_all,t23,25000,140.41,0.369188
S5_delete_all,hash_chain,50000,102.785,4.24597
S5_delete_all,hash_double,50000,50,0.034641
S5_delete_all,rbt,50000,112.85,4.15655
S5_delete_all,t23,50000,157.725,4.4208
S5_delete_all,hash_chain,100000,107.422,2.41533
S5_delete_all,hash_double,100000,55.22,0.240312
S5_delete_all,rbt,100000,123.787,1.82223
S5_delete_all,t23,100000,170.29,3.34053
S5_delete_all,hash_chain,250000,97.778,0.625553
S5_delete_all,hash_double,250000,76.526,2.19607
S5_delete_all,rbt,250000,165.967,1.86473
S5_delete_all,t23,250000,227.142,3.89837
S5_delete_all,hash_chain,500000,108.898,2.39352
S5_delete_all,hash_double,500000,77.864,1.13606
S5_delete_all,rbt,500000,224.532,2.05695
S5_delete_all,t23,500000,294.309,5.80381
S5_delete_all,hash_chain,750000,102.788,4.19969
S5_delete_all,hash_double,750000,64.8763,1.23158
S5_delete_all,rbt,750000,290.256,3.40508
S5_delete_all,t23,750000,367.143,3.08026
S5_delete_all,hash_chain,1000000,137.969,0.950189
S5_delete_all,hash_double,1000000,88.338,2.36033
S5_delete_all,rbt,1000000,366.255,5.5043
S5_delete_all,t23,1000000,430.481,1.99813
S5_delete_all,hash_chain,2500000,176.876,0.920137
S5_delete_all,hash_double,2500000,99.517,1.84709
S5_delete_all,rbt,2500000,598.418,3.00943
S5_delete_all,t23,2500000,626.251,3.71093
S5_delete_all,hash_chain,5000000,203.859,0.509781
S5_delete_all,hash_double,5000000,115.661,0.149851
S5_delete_all,rbt,5000000,773.173,10.2448
S5_delete_all,t23,5000000,799.054,13.4591
S6_mixed,hash_chain,10000,25,25
S6_mixed,hash_double,10000,12.475,21.6073
S6_mixed,rbt,10000,62.525,21.1185
S6_mixed,t23,10000,99.95,0.05
S6_mixed,hash_chain,25000,20,0.0282843
S6_mixed,hash_double,25000,60.07,0.0994987
S6_mixed,rbt,25000,75.15,8.74827
S6_mixed,t23,25000,119.98,0.184391
S6_mixed,hash_chain,50000,20.01,0.01
S6_mixed,hash_double,50000,54.515,4.60364
S6_mixed,rbt,50000,80,0.0565685
S6_mixed,t23,50000,120.06,0
S6_mixed,hash_chain,100000,25.0175,0.0861322
S6_mixed,hash_double,100000,57.7025,2.21475
S6_mixed,rbt,100000,94.8775,3.33756
S6_mixed,t23,100000,134.99,6.08292
S6_mixed,hash_chain,250000,27.952,1.32922
S6_mixed,hash_double,250000,22.5,0.866025
S6_mixed,rbt,250000,118.506,2.1845
S6_mixed,t23,250000,169.513,1.50215
S6_mixed,hash_chain,500000,36.587,1.11846
S6_mixed,hash_double,500000,26.257,2.20794
S6_mixed,rbt,500000,151.763,2.5608
S6_mixed,t23,500000,223.538,5.54671
S6_mixed,hash_chain,750000,137.377,1.53426
S6_mixed,hash_double,750000,70.8653,1.90211
S6_mixed,rbt,750000,193.51,4.26443
S6_mixed,t23,750000,272.887,1.80305
S6_mixed,hash_chain,1000000,51.792,1.37589
S6_mixed,hash_double,1000000,44.1305,1.19322
S6_mixed,rbt,1000000,226.566,2.12562
S6_mixed,t23,1000000,324.794,2.01283
S6_mixed,hash_chain,2500000,65.5124,0.305769
S6_mixed,hash_double,2500000,62.3082,0.770319
S6_mixed,rbt,2500000,365.639,1.00518
S6_mixed,t23,2500000,471.401,2.18393
S6_mixed,hash_chain,5000000,75.8439,0.409494
S6_mixed,hash_double,5000000,72.621,0.672498
S6_mixed,rbt,5000000,495.031,15.4569
S6_mixed,t23,5000000,593.877,3.971
S7_hash_worst,hash_chain,10000,113.65,20.9787
S7_hash_worst,hash_double,10000,62.65,54.7272
S7_hash_worst,rbt,10000,75.125,25.0759
S7_hash_worst,t23,10000,100.025,0.0433013
S7_hash_worst,hash_chain,25000,165.07,8.7815
S7_hash_worst,hash_double,25000,45,8.63718
S7_hash_worst,rbt,25000,60.01,0.0173205
S7_hash_worst,t23,25000,109.91,9.91049
S7_hash_worst,hash_chain,50000,162.53,4.30131
S7_hash_worst,hash_double,50000,55.035,5.09699
S7_hash_worst,rbt,50000,67.52,4.35355
S7_hash_worst,t23,50000,112.53,4.22068
S7_hash_worst,hash_chain,100000,164.108,5.26862
S7_hash_worst,hash_double,100000,57.5025,2.49751
S7_hash_worst,rbt,100000,72.53,2.49569
S7_hash_worst,t23,100000,117.67,2.35192
SC_insert,hash_chain,10000,21.8,107.176
SC_insert,hash_double,10000,49.98,149.94
SC_insert,rbt,10000,90.26,192.653
SC_insert,t23,10000,81.62,187.145
SC_insert,hash_chain,25000,69.16,171.845
SC_insert,hash_double,25000,19.88,97.3925
SC_insert,rbt,25000,69.42,172.098
SC_insert,t23,25000,140.52,226.059
SC_insert,hash_chain,50000,40.02,135.714
SC_insert,hash_double,50000,10.02,70.14
SC_insert,rbt,50000,101.9,204.524
SC_insert,t23,50000,140.06,224.596
SC_insert,hash_chain,100000,63.18,171.431
SC_insert,hash_double,100000,39.48,133.894
SC_insert,rbt,100000,60.02,162.535
SC_insert,t23,100000,72.84,180.872
SC_insert,hash_chain,250000,40.6,138.163
SC_insert,hash_double,250000,10.18,71.26
SC_insert,rbt,250000,140.12,224.694
SC_insert,t23,250000,70.1,174.523
SC_insert,hash_chain,500000,59.14,161.807
SC_insert,hash_double,500000,50.04,150.12
SC_insert,rbt,500000,73.08,181.528
SC_insert,t23,500000,159.88,233.337
SC_insert,hash_chain,750000,67.86,169.183
SC_insert,hash_double,750000,9.88,69.16
SC_insert,rbt,750000,96.88,194.147
SC_insert,t23,750000,122.8,245.505
SC_insert,hash_chain,1000000,99.86,223.63
SC_insert,hash_double,1000000,50,150
SC_insert,rbt,1000000,50.12,150.361
SC_insert,t23,1000000,79.96,183.216
SC_insert,hash_chain,2500000,78.14,205.608
SC_insert,hash_double,2500000,69.06,173.035
SC_insert,rbt,2500000,99,222.023
SC_insert,t23,2500000,180.68,261.119
SC_insert,hash_chain,5000000,40.12,136.054
SC_insert,hash_double,5000000,28.74,113.989
SC_insert,rbt,5000000,79.52,182.959
SC_insert,t23,5000000,170.86,238.686
SC_search_hit,hash_chain,10000,10,70
SC_search_hit,hash_double,10000,19.98,97.8817
SC_search_hit,rbt,10000,29.98,118.664
SC_search_hit,t23,10000,59.7,161.676
SC_search_hit,hash_chain,25000,0,0
SC_search_hit,hash_double,25000,10,70
SC_search_hit,rbt,25000,40.54,137.518
SC_search_hit,t23,25000,50.66,152.029
SC_search_hit,hash_chain,50000,32.32,128.507
SC_search_hit,hash_double,50000,18.82,92.4718
SC_search_hit,rbt,50000,50.8,153.055
SC_search_hit,t23,50000,88.78,189.694
SC_search_hit,hash_chain,100000,20,97.9796
SC_search_hit,hash_double,100000,11.18,78.26
SC_search_hit,rbt,100000,39.96,135.511
SC_search_hit,t23,100000,64.18,174.364
SC_search_hit,hash_chain,250000,28.8,114.001
SC_search_hit,hash_double,250000,9.98,69.86
SC_search_hit,rbt,250000,37.26,126.781
SC_search_hit,t23,250000,50.84,190.464
SC_search_hit,hash_chain,500000,59.62,161.466
SC_search_hit,hash_double,500000,10.02,70.14
SC_search_hit,rbt,500000,69.18,172.089
SC_search_hit,t23,500000,119.1,212.311
SC_search_hit,hash_chain,750000,19.86,97.2942
SC_search_hit,hash_double,750000,19.98,97.8817
SC_search_hit,rbt,750000,60.44,163.687
SC_search_hit,t23,750000,120.22,213.935
SC_search_hit,hash_chain,1000000,49.9,149.705
SC_search_hit,hash_double,1000000,40.06,135.851
SC_search_hit,rbt,1000000,50.02,150.06
SC_search_hit,t23,1000000,92.46,198.362
SC_search_hit,hash_chain,2500000,90.1,192.308
SC_search_hit,hash_double,2500000,42.92,145.942
SC_search_hit,rbt,2500000,67.84,168.388
SC_search_hit,t23,2500000,151.22,231.133
SC_search_hit,hash_chain,5000000,90.08,192.267
SC_search_hit,hash_double,5000000,101.84,204.069
SC_search_hit,rbt,5000000,119.3,212.33
SC_search_hit,t23,5000000,171.48,259.256
SC_search_miss,hash_chain,10000,0,0
SC_search_miss,hash_double,10000,0,0
SC_search_miss,rbt,10000,0,0
SC_search_miss,t23,10000,70.28,174.194
SC_search_miss,hash_chain,25000,0,0
