structure,n,time_per_op_ns,stddev_ns
hash_chain,10000,113.65,20.9787
hash_double,10000,62.65,54.7272
rbt,10000,75.125,25.0759
t23,10000,100.025,0.0433013
hash_chain,25000,165.07,8.7815
hash_double,25000,45,8.63718
rbt,25000,60.01,0.0173205
t23,25000,109.91,9.91049
hash_chain,50000,162.53,4.30131
hash_double,50000,55.035,5.09699
rbt,50000,67.52,4.35355
t23,50000,112.53,4.22068
hash_chain,100000,164.108,5.26862
hash_double,100000,57.5025,2.49751
rbt,100000,72.53,2.49569
t23,100000,117.67,2.35192
